[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[8283]8713   Mad-Eye, you do know that's disgusting, don't you
[8284]5192  ' said Tonks conversationally
[8285]5975   Get me a glass of water, would you, Harry,' requested Moody
[8286]6446   Harry crossed to the dishwasher, took out a clean glass and filled it with water at the sink, still watched eagerly by the band of wizards
[8287]224    Their relentless staring was starting to annoy him
[8288]11063   Cheers,' said Moody, when Harry handed him the glass
[8289]629    He dropped the magical eyeball into the water and prodded it up and down; the eye whizzed around, staring at them all in turn
[8290]420    I want three hundred and sixty degrees visibility on the return journey
[8291]602   'How're we getting-wherever we're going
[8292]6088  ' Harry asked
[8293]5269   Brooms,' said Lupin
[8294]355    Only way
[8295]10538    You're too young to Apparate, they'll be watching the Floo Network and it's more than our life's worth to set up an unauthorised Portkey
[8296]6203   'Remus says you're a good flier,' said Kingsley Shacklebolt in his deep voice
[8297]10136   He's excellent,' said Lupin, who was checking his watch
[8298]7001    Anyway, you'd better go and get packed, Harry, we want to be ready to go when the signal comes
[8299]6376   'I'll come and help you,' said Tonks brightly
[8300]6740   She followed Harry back into the hall and up the stairs, looking around with much curiosity and interest
[8301]5322   Funny place,' she said
[8302]6590    It's a bit too clean, d'you know what I mean
[8303]198   Bit unnatural
[8304]11715    Oh, this is better,' she added, as they entered Harry's bedroom and he turned on the light
[8305]802   His room was certainly much messier than the rest of the house
[8306]5945    Confined to it for four days in a very bad mood, Harry had not bothered tidying up after himself
[8307]7301    Most of the books he owned were strewn over the floor where he'd tried to distract himself with each in turn and thrown it aside; Hedwig's cage needed cleaning out and was starting to smell; and his trunk lay open, revealing a jumbled mixture of Muggle clothes and wizards' robes that had spilled on to the floor around it
[8308]6099   Harry started picking up books and throwing them hastily into his trunk
[8309]1583    Tonks paused at his open wardrobe to look critically at her reflection in the mirror on the inside of the door
[8310]14619   You know, I don't think violet's really my colour,' she said pensively, tugging at a lock of spiky hair
[8311]1865    D'you think it makes me look a bit peaky
[8312]11707  'Er-' said Harry, looking up at her over the top of Quidditch Teams of Britain and Ireland
[8313]5557   Yeah, it does,' said Tonks decisively
[8314]706    She screwed up her eyes in a strained expression as though she was struggling to remember something
[8315]839    A second later, her hair had turned bubble-gum pink
[8316]667   How did you do that
[8317]11477  ' said Harry, gaping at her as she opened her eyes again
[8318]6900   I'm a Metamorphmagus,' she said, looking back at her reflection and turning her head so that she could see her hair from all directions
[8319]10781    It means I can change my appearance at will,' she added, spotting Harry's puzzled expression in the mirror behind her
[8320]32    I was born one
[8321]1041    I got top marks in Concealment and Disguise during Auror training without any study at all, it was great
[8322]20   'You're an Auror
[8323]10832  ' said Harry, impressed
[8324]1348    Being a Dark-wizard-catcher was the only career he'd ever considered after Hogwarts
[8325]6084   Yeah,' said Tonks, looking proud
[8326]5010    Kingsley is as well; he's a bit higher up than me, though
[8327]261    I only qualified a year ago
[8328]136    Nearly failed on Stealth and Tracking
[8329]1556    I'm dead clumsy, did you hear me break that plate when we arrived downstairs
[8330]27  'Can you learn how to be a Metamorphmagus
[8331]6170  ' Harry asked her, straightening up, completely forgetting about packing
[8332]109   Tonks chuckled
[8333]2765   Bet you wouldn't mind hiding that scar sometimes, eh
[8334]11123  'Her eyes found the lightning-shaped scar on Harry's forehead
[8335]8759   No, I wouldn't mind,' Harry mumbled, turning away
[8336]1980    He did not like people staring at his scar
[8337]6787   Well, you'll have to learn the hard way, I'm afraid,' said Tonks
[8338]327    Metamorphmagi are really rare, they're born, not made
[8339]901    Most wizards need to use a wand, or potions, to change their appearance
[8340]8688    But we've got to get going, Harry, we're supposed to be packing,' she added guiltily, looking around at all the mess on the floor
[8341]11547   Oh-yeah,' said Harry, grabbing a few more books
[8342]3594   Don't be stupid, it'll be much quicker if I-pack
[8343]1256  ' cried Tonks, waving her wand in a long, sweeping movement over the floor
[8344]432   Books, clothes, telescope, and scales all soared into the air and flew pell-mell into the trunk
[8345]10881   It's not very neat,' said Tonks, walking over to the trunk and looking down at the jumble inside
[8346]11852    My mum's got this knack of getting stuff to fit itself in neatly-she even gets the socks to fold themselves-but I've never mastered how she does it-it's a kind of flick-' She flicked her wand hopefully
[8347]10894   One of Harry's socks gave a feeble sort of wiggle and flopped back on top of the mess in the trunk
[8348]14927   Ah, well,' said Tonks, slamming the trunk's lid shut, at least it's all in
[8349]209    That could do with a bit of cleaning, too
[8350]5362   ' She pointed her wand at Hedwig's cage
[8351]3    Scourgify
[8352]83   ' A few feathers and droppings vanished
[8353]6837    Well, that's a bit better- I've never quite got the hang of these householdy sort of spells
[8354]1247    Right-got everything
[8355]42   Cauldron
[8356]57   Broom
[8357]9   Wow
[8358]13   A Firebolt
[8359]12054  'Her eyes widened as they fell on the broomstick in Harry's right hand
[8360]740    It was his pride and joy, a gift from Sirius, an international-standard broomstick
[8361]5638   And I'm still riding a Comet Two Sixty,' said Tonks enviously
[8362]51    Ah well 
[8363]0   
[8364]0   
[8365]422    wand still in your jeans
[8366]2   Both buttocks still on
[8367]5152   OK, let's go
[8368]71    Locomotor trunk
[8369]10783   'Harry's trunk rose a few inches into the air
[8370]7907    Holding her wand like a conductors baton, Tonks made the trunk hover across the room and out of the door ahead of them, Hedwig's cage in her left hand
[8371]6011    Harry followed her down the stairs carrying his broomstick
[8372]6818   Back in the kitchen Moody had replaced his eye, which was spinning so fast after its cleaning it made Harry feel sick to look at it
[8373]628    Kingsley Shacklebolt and Sturgis Podmore were examining the microwave and Hestia Jones was laughing at a potato peeler she had come across while rummaging in the drawers
[8374]342    Lupin was sealing a letter addressed to the Dursleys
[8375]11803   Excellent,' said Lupin, looking up as Tonks and Harry entered
[8376]1983    We've got about a minute, I think
[8377]169    We should probably get out into the garden so we're ready
[8378]20454    Harry, I've left a letter telling your aunt and uncle not to worry-'They won't,' said Harry
[8379]1407   -that you're safe-'That'll just depress them
[8380]631   '-and you'll see them next summer
[8381]0   'Do I have to
[8382]272  'Lupin smiled but made no answer
[8383]11910   Come here, boy,' said Moody gruffly, beckoning Harry towards him with his wand
[8384]184    I need to Disillusion you
[8385]183   'You need to what
[8386]10859  ' said Harry nervously
[8387]5679   Disillusionment Charm,' said Moody, raising his wand
[8388]5102    Lupin says you've got an Invisibility Cloak, but it won't stay on while we're flying; this'll disguise you better
[8389]8423    Here you go-'He rapped him hard on the top of the head and Harry felt a curious sensation as though Moody had just smashed an egg there; cold trickles seemed to be running down his body from the point the wand had struck
[8390]16150   Nice one, Mad-Eye,' said Tonks appreciatively, staring at Harry's midriff
[8391]10451   Harry looked down at his body, or rather, what had been his body, for it didn't look anything like his any more
[8392]251    It was not invisible; it had simply taken on the exact colour and texture of the kitchen unit behind him
[8393]39    He seemed to have become a human chameleon
[8394]6532   Come on,' said Moody, unlocking the back door with his wand
[8395]5393   They all stepped outside on to Uncle Vernon's beautifully kept lawn
[8396]646   Clear night,' grunted Moody, his magical eye scanning the heavens
[8397]940    Could've done with a bit more cloud cover
[8398]6965    Right, you,' he barked at Harry, we're going to be flying in close formation
[8399]1356    Tonks'll be right in front of you, keep close on her tail
[8400]745    Lupin'll be covering you from below
[8401]930    I'm going to be behind you
[8402]682    The rest'll be circling us
[8403]3673    We don't break ranks for anything, got me
[8404]56   If one of us is killed-'Is that likely
[8405]6219  ' Harry asked apprehensively, but Moody ignored him
[8406]6128   -the others keep flying, don't stop, don't break ranks
[8407]6604    If they take out all of us and you survive, Harry, the rear guard are standing by to take over; keep flying east and they'll join you
[8408]22391   'Stop being so cheerful, Mad-Eye, he'll think we're not taking this seriously,' said Tonks, as she strapped Harry's trunk and Hedwig's cage into a harness hanging from her broom
